Бухта Север и Диксон	73.1	80
Дудинка	69.4	86.15
кромка льда на Западе	69.9	44.6
Варандей-Приразломное	69.15	57.68
Штокман	73	44
Окно в Европу	71.5	22
Победа месторождение	74.6	63.9
Карское - 3 (центр)	76.4	86.4
пролив Вилькицкого - 3	77.6	107.7
Лаптевых - 4 (юг)	74.9	116.7
Вход в Обскую губу	73.1	72.7
Новый порт	68.5	73.7
Лаптевых - 1 (центр)	76.75	116
Карское - 1 (сбор каравана)	74	76.7
Лескинское м-е	72.35	79.6
Карские ворота	70.3	57.8
Мыс Желания	77.3	67.7
остров Врангеля	71.74	184.7
Восточно-Сибирское - 1 (восток)	70.7	170.5
пролив Вилькицкого - восток	77.8	104.1
пролив Вилькицкого - запад	77.7	99.5
около Новой Земли	76.2	58.3
Пролив Санникова - 1	74.4	139
Пролив Санникова - 2	74.3	146.7
устье Лены	74	128.1
Сабетта	71.3	72.15
мыс.Наглёйнын	69.1	169.4
пролив Лонга	69.9	179
Восточно-Сибирское - 3 (север)	73.5	169.9
Архангельск	64.95	40.05
Лаптевых - 3 (восток)	75.9	152.6
МОТ Печора	68.37	54.6
Хатангский залив	73.7	109.26
Восточно-Сибирское - 2 (запад)	72	159.5
Ленинградское-Русановское	72.4	65.6
терминал Утренний	71	73.73
Таймырский залив	76.5	97.6
Берингово	64.2	188.2
кромка льда на Востоке	60.7	175.3
Рейд Певек	69.75	169.9
Лаптевых - 2 (центр)	75.5	131.5
Рейд Мурманска	69.5	33.75
остров Котельный	76.7	140.8
Карское - 2 (прибрежный)	74.8	84.2
Индига	67.58	47.82
Берингов пролив	65.9	-169.35
Окно в Азию	55.7	164.25
